Publisher,Sales
Nintendo,151.3
Konami Digital Entertainment,1.27
Take-Two Interactive,21.25
Sony Computer Entertainment,110.57
Activision,17.31
Ubisoft,15.83
Namco Bandai Games,7.01
Electronic Arts,145.77
Sega,21.83
THQ,40.17
Warner Bros. Interactive Entertainment,0.98
505 Games,0.06
Capcom,2.38
Banpresto,0.04
Tecmo Koei,0.44
