Publisher,Sales
Nintendo,218.01
Konami Digital Entertainment,98.95
Take-Two Interactive,76.77
Sony Computer Entertainment,59.61
Activision,75.91
Ubisoft,24.24
Namco Bandai Games,19.16
Electronic Arts,479.67
Sega,71.71
THQ,13.22
Warner Bros. Interactive Entertainment,0
505 Games,14.32
Capcom,0.46
Banpresto,0.57
Tecmo Koei,3.99
