Publisher,Sales
Nintendo,124.88
Konami Digital Entertainment,0.83
Take-Two Interactive,0.07
Sony Computer Entertainment,3.71
Activision,1.06
Ubisoft,6.33
Namco Bandai Games,6.12
Electronic Arts,4.55
Sega,2.53
THQ,9.25
Warner Bros. Interactive Entertainment,6.65
505 Games,2.38
Capcom,0.8
Banpresto,1.97
Tecmo Koei,0
