Genre,Sales
Action,525
Adventure ,64.13
Fighting,101.32
Misc,215.98
Platform,201.63
Puzzle ,50.78
Racing ,238.39
Role-Playing,188.06
Shooter ,313.27
Simulation ,113.38
Sports,376.85
Strategy,45.34
