Genre,Sales
Action,159.95
Adventure ,52.07
Fighting,87.35
Misc,107.76
Platform,130.77
Puzzle ,57.31
Racing ,56.69
Role-Playing,352.31
Shooter ,38.28
Simulation ,63.7
Sports,135.37
Strategy,49.46
